yisi,hanzi
to promote (making the good stuff even better and well-appreciated),发扬
growth/to mature or develop,发育 (生长)
legal person/corporation,法人
(turn/time) (to be sb's turn) (over and over again),番 (轮到) (三番五次)
flourishing/bustling (busy/bustling),繁华 (热闹) (忙碌)
busy (busy/bustling),繁忙 (忙.../忙于...) (忙碌)
traditional Chinese character,繁体字 (简体字)
reproduction (spider),繁殖(力/期) (生殖) (蜘蛛)
all/each and every,凡是
to retort/refute,反驳 (辩论/争辩/答辩)
abnormal/unusual,反常
be displeased with/to dislike (favorable impression),反感 (好感)
to resist/rebel,反抗 (抵抗/对抗) (抗议)
feedback,反馈
reverse side/bad (villain),反面 (人物) (正面)
to reflect/echo (physical/machanical reflection),反射 (反映)(反思)
to reflect/ponder,反思 (思考) (反映)(反射)
rhetorical question,反问
on the contrary.../whereas...,反之 (相反)
category (kind or sort/type),范畴 (类别) (种类/类型))
flood/to flood,泛滥
to sell/traffic/trafficking,贩卖 (机/人口)
direction/position eg compass,方位 (方面/方向) (指南针)
dialect,方言
perimeter/circumference/(within) a radius of...,方圆
policy/guideline (strategy),方针 (政策) (策略)
defense/to defend,防守 (防御/保卫)(进攻/攻击)
defense/to defend,防御 (防守/防御/保卫)(进攻/攻击)
to prevent/guard against/take precautions,防止 (预防)
to prevent and cure,防治 (防止/预防)
to visit,访问 (拜访/做客)
spinning and weaving (textile/fabrics),纺织(品)
to enlarge/magnify (to reduce/shrink),放大(镜) (缩小)
to radiate (radioactive) (radiation),放射 (放射性 元素)(放射线)
illegal (legal),非法 (合法)
birds and animals (flying birds and running beasts),飞禽走兽 (水禽)(海兽/兽性)
to soar/circle in the air (spread wings),飞翔 (翱翔) (展翅)
to leap/jump,飞跃 (跳跃)
fertile (barren/infertile),肥沃 (贫瘠/瘠薄)
to slander/defame (Nieli),诽谤 (侮辱)
lung,肺 (肺部)(肺病/肺癌/肺炎/肺结核)
to abolish (eliminate/delete/fire sb),废除 (除了)(消除/排除/清除/删除)(开除)
ruins (old tomb),废墟 (古墓)
forget all about sleeping and eating,废寝忘食
(of a liquid) to boil,沸腾 (熬) (煎熬/熬煎)
to distinguish/differentiate,分辨 (辨认/识别)
sense of proper speech or action,(有/没)分寸
dividend/bonus (mainly after co-operation),分红 (奖金)
to decompose/break down,分解
to split up/divide or seperate,分裂
to secrete/secretion,(内)分泌
clear/distinct/evident,分明 (清楚/清晰/鲜明)
"differences (of opinion, position)",分歧 (矛盾)
to scatter/disperse,分散
to tell/instruct/command,吩咐 (命令/下令)
grave/tomb,坟墓 (墓葬) (埋葬)(陪葬)
fine powder,粉末 (碎末)
pink,粉色
to crush/smash/shatter,粉碎
quantity or amount (eg cooking),分量
anger/angry,愤怒 (生气/发怒/发火/恼火)
storm (stormy sea),风暴 (风浪)
grace/elegance (for men),风度
scenery,风光 (风景/景色) (情景/情况)
atmosphere/general mood,风气 (气氛)
humorous/humor (witty and interesting),风趣 (幽默) (饶有风趣)
local customs and practices,风土人情
distinctive flavor/distinctive style,风味
to seal off/close down (to seal),封闭 (封印/封锁)
feudal/feudalism (lord),封建 (领主)
to seal off,封锁 (封印)(封闭)
ample/well developed/fully rounded,丰满
rich/abundant/plentiful,丰盛
have good harvest,丰收 (歉收)
sharp,锋利 (钝)
(every time...) (encounter sth unpleasant/meet again/meet by chance),逢 (每逢...) (遭逢/重逢/相逢)(遇到/碰到/相见)
to dedicate/devote (contribution),奉献 (贡献)
to reject/overrule/veto,否决
a (married) couple,夫妇 (夫妻)
lady/madam,夫人
